BIN,BIN_LEN,INS_CODE,CARD_LEN,ACCT_TYPE,INS_NAME,CARD_NAME,CARD_BRAND
400052,6,0803050001,18,2,VIS,外卡测试用-勿删,VIS
621094,6,0805406650,16,1,乐山市商业银行,,CUP
9,1,0899999907,16,2,visa外卡,visa外卡,VIS
621498,6,0805406650,19,1,乐山市商业银行,,CUP
621452,6,0804341100,18,1,天津市商业银行,,CUP
623120,6,0805438720,19,1,石嘴山银行,麒麟借记卡,CUP
623138,6,0805605128,19,1,驻马店银行,驿站卡,CUP
628389,6,0805605129,16,2,驻马店银行,公务卡,CUP
623182,6,0805818201,19,1,甘肃银行,甘肃银行神州兴陇IC卡,CUP
628323,6,0814427901,16,2,陕西省农村信用社联合社,富秦公务卡,CUP
621399018,9,0815273993,16,1,漳浦民生村镇银行,漳浦民生村镇银行借记卡,CUP
621399021,9,0815277470,16,1,普洱民生村镇银行,,CUP
62163120,8,0815403088,18,1,盱眙珠江村镇银行,盱眙珠江卡,CUP
621656001,9,0815515134,19,1,河南方城凤裕村镇银行,金裕卡,CUP
621680009,9,0815563956,16,1,福建沙县渝农商村镇银行,江渝卡,CUP
621382015,9,0815735040,19,1,漯河市郾城包商村镇银行,,CUP
621278333,9,0815805364,18,1,通城惠民村镇银行,,CUP
623328,6,0825160344,17,1,中信嘉华银行有限公司,CNCBIHKDCUPDebitCard,UPI
623339,6,0828260417,16,1,OJSCRussianInvestmentBank,借记卡,UPI
623304,6,0829470608,16,1,PVBCardCorporation,预付卡,UPI
623324,6,0829470608,16,1,PVBCardCorporation,预付卡,UPI
625800,6,0864233311,16,2,杭州市商业银行,西湖信用卡,CUP
623518,6,0804922600,19,1,龙江银行,,CUP
623093,6,0805342050,19,1,鄂尔多斯银行股份有限公司,天骄借记复合卡,CUP
623116,6,0805374610,19,1,济宁银行股份有限公司,,CUP
955997,6,0804145210,19,1,汉口银行,九通卡(银联卡),CUP
600100,6,0840032900,19,2,PRP,预付卡,PRP
412344000000,12,0899999907,16,2,visa外卡,visa外卡,VIS
623530953,9,0816091464,18,1,香河益民村镇银行,益通卡,CUP
623538001,9,0816153414,19,1,浙江龙游义商村镇银行,义商借记卡,CUP
623397,6,0825160344,17,1,中信嘉华银行有限公司,CNCBIHKDDiamondDebitCard,UPI
6233491,7,0829470608,16,4,PVBCardCorporation,RiverGroup,UPI
621680102,9,0801050270,16,1,张家港渝农商村镇银行,白金卡,UPI
4,1,0899999907,19,2,visa外卡,visa外卡,VIS
625708,6,0801020000,16,2,中国工商银行,中小商户采购卡,CUP
621444,6,0814540001,19,1,银联IC测试卡,借记IC卡,CUP
94,2,0899999907,16,2,visa外卡,visa外卡,VIS
356859,6,0803050001,16,2,民生银行,民生JCB信用卡,CUP
356857,6,0803050001,16,2,民生银行,民生JCB金卡,CUP
407405,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
421869,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
421870,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
421871,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
512466,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
356856,6,0803050001,16,2,民生银行,民生JCB普卡,CUP
528948,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
552288,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
622600,6,0803050001,16,2,民生银行,民生信用卡(银联卡),CUP
622601,6,0803050001,16,2,民生银行,民生信用卡(银联卡),CUP
622602,6,0803050001,16,2,民生银行,民生银联白金信用卡,CUP
517636,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
622621,6,0803050001,16,2,民生银行,民生银联个人白金卡,CUP
628258,6,0803050001,16,2,民生银行,公务卡金卡,CUP
556610,6,0803050001,16,2,民生银行,民生贷记卡(银联卡),CUP
622603,6,0803050001,16,2,民生银行,民生银联商务信用卡,CUP
464580,6,0803050001,16,2,民生银行,民VISA无限卡,CUP
464581,6,0803050001,16,2,民生银行,民生VISA商务白金卡,CUP
523952,6,0803050001,16,2,民生银行,民生万事达钛金卡,CUP
545217,6,0803050001,16,2,民生银行,民生万事达世界卡,CUP
553161,6,0803050001,16,2,民生银行,民生万事达白金公务卡,CUP
356858,6,0803050001,16,2,民生银行,民生JCB白金卡,CUP
622623,6,0803050001,16,2,民生银行,银联标准金卡,CUP
625911,6,0803050001,16,2,民生银行,银联芯片普卡,CUP
377152,6,0803050001,15,2,民生银行,民生运通双币信用卡普卡,CUP
377153,6,0803050001,15,2,民生银行,民生运通双币信用卡金卡,CUP
377158,6,0803050001,15,2,民生银行,民生运通双币信用卡钻石卡,CUP
557080,6,0801059999,16,2,中国建设银行,龙卡万事达白金卡,CUP
558895,6,0801059999,16,2,中国建设银行,龙卡贷记卡,CUP
559051,6,0801059999,16,2,中国建设银行,龙卡万事达信用卡,CUP
622166,6,0801059999,16,2,中国建设银行,龙卡人民币信用卡,CUP
622168,6,0801059999,16,2,中国建设银行,龙卡人民币信用金卡,CUP
622708,6,0801059999,16,2,中国建设银行,龙卡人民币白金卡,CUP
625964,6,0801059999,16,2,中国建设银行,龙卡IC信用卡普卡,CUP
625965,6,0801059999,16,2,中国建设银行,龙卡IC信用卡金卡,CUP
625966,6,0801059999,16,2,中国建设银行,龙卡IC信用卡白金卡,CUP
628266,6,0801059999,16,2,中国建设银行,龙卡银联公务卡普卡,CUP
628366,6,0801059999,16,2,中国建设银行,龙卡银联公务卡金卡,CUP
620021,6,0803010000,19,4,交通银行,交行预付卡,CUP
620521,6,0803010000,19,4,交通银行,世博预付IC卡,CUP
405512,6,0803010000,17,1,交通银行,太平洋互连卡(银联卡),CUP
434910,6,0803010000,16,2,交通银行,太平洋白金信用卡,CUP
458123,6,0803010000,16,2,交通银行,太平洋双币贷记卡,CUP
458124,6,0803010000,16,2,交通银行,太平洋双币贷记卡,CUP
49104,5,0803010000,16,2,交通银行,太平洋信用卡,CUP
520169,6,0803010000,16,2,交通银行,太平洋双币贷记卡,CUP
522964,6,0803010000,16,2,交通银行,太平洋白金信用卡,CUP
53783,5,0803010000,16,2,交通银行,太平洋信用卡,CUP
552853,6,0803010000,16,2,交通银行,太平洋双币贷记卡,CUP
601428,6,0803010000,17,1,交通银行,太平洋万事顺卡,CUP
622250,6,0803010000,16,2,交通银行,太平洋人民币贷记卡,CUP
622251,6,0803010000,16,2,交通银行,太平洋人民币贷记卡,CUP
521899,6,0803010000,16,2,交通银行,太平洋双币贷记卡,CUP
622254,6,0803010000,16,3,交通银行,太平洋准贷记卡,CUP
622255,6,0803010000,16,3,交通银行,太平洋准贷记卡,CUP
622256,6,0803010000,16,3,交通银行,太平洋准贷记卡,CUP
622257,6,0803010000,16,3,交通银行,太平洋准贷记卡,CUP
622258,6,0803010000,17,1,交通银行,太平洋借记卡,CUP
622259,6,0803010000,17,1,交通银行,太平洋借记卡,CUP
622253,6,0803010000,16,2,交通银行,太平洋人民币贷记卡,CUP
622261,6,0803010000,19,1,交通银行,太平洋借记卡,CUP
622284,6,0803010000,16,3,交通银行,太平洋MORE卡,CUP
622656,6,0803010000,16,2,交通银行,白金卡,CUP
628216,6,0803010000,16,2,交通银行,交通银行公务卡普卡,CUP
622252,6,0803010000,16,2,交通银行,太平洋人民币贷记卡,CUP
66405512,8,0803010000,17,1,交通银行,太平洋互连卡,CUP
6649104,7,0803010000,16,2,交通银行,太平洋信用卡,CUP
622260,6,0803010000,19,1,交通银行,太平洋借记卡,CUP
66601428,8,0803010000,17,1,交通银行,太平洋万事顺卡,CUP
955590,6,0803010000,16,2,交通银行,太平洋贷记卡(银联卡),CUP
955591,6,0803010000,16,2,交通银行,太平洋贷记卡(银联卡),CUP
955592,6,0803010000,16,2,交通银行,太平洋贷记卡(银联卡),CUP
955593,6,0803010000,16,2,交通银行,太平洋贷记卡(银联卡),CUP
6653783,7,0803010000,16,2,交通银行,太平洋信用卡,CUP
628218,6,0803010000,16,2,交通银行,交通银行公务卡金卡,CUP
622262,6,0803010000,19,1,交通银行,交银IC卡,CUP
621002,6,0803010344,19,1,交通银行香港分行,银联人民币卡,UPI
621069,6,0803010344,19,1,交通银行香港分行,交通银行港币借记卡,UPI
620013,6,0803010344,16,1,交通银行香港分行,港币礼物卡,UPI
625028,6,0803010344,16,2,交通银行香港分行,双币种信用卡,UPI
