code,msg,respCode,respMsg,
2001,系统内部错误。,000001,系统内部错误,
2002,验证签名失败。,000001,系统内部错误,
2003,解析报文错误。,000001,系统内部错误,
2004,报文格式错误。,000001,系统内部错误,
2005,不支持的版本。,000001,系统内部错误,
2006,无效交易类型。,000001,系统内部错误,
2007,无此操作的权限。,000001,系统内部错误,
2008,重复交易请求。,200040,重复交易,
2009,无效日期。,200200,日期有误,
2010,无效日期范围。,200200,日期有误,
2011,数据库存取异常。,000002,外部系统错误,`
2012,会话不存在。,000001,系统内部错误,
2013,系统不支持GET方法。,000001,系统内部错误,
2016,参数不正确。,200050,报文要素缺失,
2017,交易证书过期。,000001,系统内部错误,
240001,请求中不存在message参数或者signature参数。,000001,系统内部错误,
240002,不存在此交易代码，请查看参数TxCode,000001,系统内部错误,
240003,不存此机构，请查看参数InstitutionID,000001,系统内部错误,
240004,不存在此订单，请查看参数OrderNo,000001,系统内部错误,
240005,不存在此支付交易，请查看参数PaymentNo,000001,系统内部错误,
240006,不存在此结算交易，请查看参数SerialNumber,000001,系统内部错误,
240007,订单号长度不正确，请查看参数OrderNo,000001,系统内部错误,
240008,支付交易流水号长度不正确，请查看参数PaymentNo,000001,系统内部错误,
240009,交易流水号长度不正确，请查看参数SerialNumber,000001,系统内部错误,
240010,订单号重复，请查看参数OrderNo,000001,系统内部错误,
240011,支付交易流水号重复，请查看参数PaymentNo,000001,系统内部错误,
240012,交易流水号重复，请查看参数SerialNumber,000001,系统内部错误,
240013,账户类型错误，请查看参数AccountType,200230,账户类型有误,
240014,金额格式不对。,200180,金额有误,
240015,结算金额大于可结算金额。,200180,金额有误,
240016,备注信息太多。,200210,备注有误,
240017,该笔订单没有支付，不能退款。,100020,原交易不成功，不能退款,
240018,退款（累计）金额大于订单金额。,200191,退款金额（累计）大于可退金额,
240019,账户名称与账户号码不匹配。,400100,账户名称与账号不匹配,
240020,不存在此退款交易，请查看参数SerialNumber,000001,系统内部错误,
240021,金额必须大于0,200180,金额有误,
240022,银行账户信息不完整。,400040,账户状态不正确,
240023,该笔订单已经退款，只能退款一次。,100010,该笔订单已经存在退款交易，不能再次退款,
240024,（支付平台）账户不存在。,400040,账户状态不正确,
240025,无结算对账记录。,000001,系统内部错误,
