code,msg,respCode,respMsg
00,承兑或交易成功,000000,承兑或交易成功
01,查发卡行,410001,查发卡行
02,可电话向发卡行查询,410002,查发卡行的特殊条件
03,商户需要在银行或中心登记,410003,无效商户
04,操作员没收卡,410004,没收卡
05,发卡不予承兑,410005,不予承兑
06,发卡行故障,410006,出错
07,特殊条件下没收卡,410007,特殊条件下没收卡
09,重新提交交易请求,410008,请求正在处理中
12,发卡行不支持的交易,410012,无效交易
13,金额为0 或太大,410013,无效金额
14,卡种未在中心登记或读卡号有误,410014,无效卡号
15,此发卡行未与中心开通业务,410015,无此发卡行
19,刷卡读取数据有误，可重新刷卡,410019,重新送入交易
20,无效应答,410020,无效应答
21,不做任何处理,410021,不做任何处理
22,POS状态与中心不符，可重新签到,410022,怀疑操作有误
23,不可接受的交易费,410023,不可接受的交易费
25,发卡行未能找到有关记录,410024,未能找到文件上记录
30,格式错误,410030,格式错误
31,此发卡方未与中心开通业务,410031,不支持的银行
33,过期的卡，操作员可以没收,410033,过期的卡
34,有作弊嫌疑的卡，操作员可以没收,410034,有作弊嫌疑
35,有作弊嫌疑的卡，操作员可以没收,410035,受卡方与安全保密部门联系
36,有作弊嫌疑的卡，操作员可以没收,410036,受限制的卡
37,有作弊嫌疑的卡，操作员可以没收,410037,受卡方呼受理方安全保密部门(没收卡)
38,密码错次数超限，操作员可以没收,410038,超过允许的PIN试输入
39,可能刷卡操作有误,410039,无此信用卡账户
40,发卡行不支持的交易类型,410040,请求的功能尚不支持
41,挂失的卡， 操作员可以没收,410041,丢失卡
42,发卡行找不到此账户,410042,无此账户
43,被窃卡， 操作员可以没收,410043,被窃卡
44,可能刷卡操作有误,410044,无此投资账户
51,账户内余额不足,410051,无足够的存款
52,无此支票账户,410052,无此支票账户
53,无此储蓄卡账户,410053,无此储蓄卡账户
54,过期的卡,410054,过期的卡
55,密码输错,410055,不正确的PIN
56,发卡行找不到此账户,410056,无此卡记录
57,不允许持卡人进行的交易,410057,不允许持卡人进行的交易
58,该商户不允许进行的交易,410058,不允许终端进行的交易
59,有作弊嫌疑,410059,有作弊嫌疑
60,受卡方与安全保密部门联系,410060,受卡方与安全保密部门联系
61,一次交易的金额太大,410061,超出取款金额限制
62,受限制的卡,410062,受限制的卡
63,违反安全保密规定,410063,违反安全保密规定
64,原始金额不正确,410064,原始金额不正确
65,超出取款次数限制,410065,超出取款次数限制
66,受卡方呼受理方安全保密部门,410066,受卡方呼受理方安全保密部门
67,捕捉（没收卡）,410067,捕捉（没收卡）
68,发卡行规定时间内没有回答,410068,收到的回答太迟
75,允许的输入PIN次数超限,410075,允许的输入PIN次数超限
77,POS批次与网络中心不一致,410077,需要向网络中心签到
79,POS终端上传的脱机数据对账不平,410079,脱机交易对账不平
90,日期切换正在处理,410090,日期切换正在处理
91,电话查询发卡方或收单银行，可重作,410091,发卡行或收单银行不能操作
92,电话查询发卡方或网络中心，可重作,410092,金融机构或中间网络设施找不到或无法达到
93,交易违法、不能完成,410093,交易违法、不能完成
94,查询网络中心，可重新签到作交易,410094,重复交易
95,调节控制错,410095,调节控制错
96,发卡方或网络中心出现故障,410096,系统异常、失效
97,终端未在中心或银行登记,410097,POS终端号找不到
98,收不到发卡行应答,410098,收不到发卡行应答
99,可重新签到作交易,410099,PIN格式错
A0,可重新签到作交易,200010,MAC校验错
C1,卡券已被核销,101010,卡券已被核销
C2,卡券已过期,101020,卡券已过期
C3,无效的卡券,101030,无效的卡券
