code,msg,busicd,ISOCode
ACQ.SYSTEM_ERROR,接口返回错误,pay,09
ACQ.INVALID_PARAMETER,参数无效,pay,96
ACQ.ACCESS_FORBIDDEN,无权限使用接口,pay,96
ACQ.EXIST_FORBIDDEN_WORD,订单信息中包含违禁词,pay,H7
ACQ.PARTNER_ERROR,应用 APP_ID 填写错误,pay,S8
ACQ.TOTAL_FEE_EXCEED,订单总金额超过限额,pay,H5
ACQ.PAYMENT_AUTH_CODE_INVALID,支付授权码无效,pay,14
ACQ.CONTEXT_INCONSISTENT,交易信息被篡改,pay,96
ACQ.TRADE_HAS_SUCCESS,交易已被支付,pay,H6
ACQ.TRADE_HAS_CLOSE,交易已经关闭,pay,H3
ACQ.BUYER_BALANCE_NOT_ENOUGH,买家余额不足,pay,51
ACQ.BUYER_BANKCARD_BALANCE_NOT_ENOUGH,用户银行卡余额不足,pay,S7
ACQ.ERROR_BALANCE_PAYMENT_DISABLE,余额支付功能关闭,pay,S9
ACQ.BUYER_SELLER_EQUAL,买卖家不能相同,pay,R7
ACQ.TRADE_BUYER_NOT_MATCH,交易买家不匹配,pay,R7
ACQ.BUYER_ENABLE_STATUS_FORBID,买家状态非法,pay,R7
ACQ.PULL_MOBILE_CASHIER_FAIL,唤起移动收银台失败,pay,T1
ACQ.MOBILE_PAYMENT_SWITCH_OFF,用户的无线支付开关关闭,pay,S9
ACQ.PAYMENT_FAIL,支付失败,pay,01
ACQ.BUYER_PAYMENT_AMOUNT_DAY_LIMIT_ERROR,买家付款日限额超限,pay,T2
ACQ.BEYOND_PAY_RESTRICTION,商户收款额度超限,pay,T3
ACQ.BEYOND_PER_RECEIPT_RESTRICTION,商户收款金额超过月限额,pay,T3
ACQ.BUYER_PAYMENT_AMOUNT_MONTH_LIMIT_ERROR,买家付款月额度超限,pay,T2
ACQ.SELLER_BEEN_BLOCKED,商家账号被冻结,pay,R8
ACQ.ERROR_BUYER_CERTIFY_LEVEL_LIMIT,买家未通过人行认证,pay,R7
ACQ.PAYMENT_REQUEST_HAS_RISK,支付有风险,pay,91
ACQ.NO_PAYMENT_INSTUMENTS_AVAILABLE,没用可用的支付具,pay,S9
ACQ.USER_FACE_PAYMENT_SWITCH_OFF,用户当面付付款开关关闭,pay,S9
ACQ.SYSTEM_ERROR,接口返回错误,precreate,09
ACQ.INVALID_PARAMETER,参数无效,precreate,96
ACQ.ACCESS_FORBIDDEN,无权限使用接口,precreate,31
ACQ.EXIST_FORBIDDEN_ WORD,订单信息中包含违禁词,precreate,H7
ACQ.PARTNER_ERROR,应用 APP_ID 填写错误,precreate,S8
ACQ.TOTAL_FEE_EXCEED,订单总金额超过限额,precreate,H5
ACQ.CONTEXT_INCONSISTENT,交易信息被篡改,precreate,H5
ACQ.TRADE_HAS_SUCCESS,交易已被支付,precreate,H6
ACQ.TRADE_HAS_CLOSE,交易已经关闭,precreate,H3
ACQ.BUYER_SELLER_EQUAL,买卖家不能相同,precreate,R7
ACQ.TRADE_BUYER_NOT_MATCH,交易买家不匹配,precreate,R7
ACQ.BUYER_ENABLE_STATUS_FORBID,买家状态非法,precreate,R7
ACQ.BUYER_PAYMENT_AMOUNT_DAY_LIMIT_ERROR,买家付款日限额超限,precreate,T2
ACQ.BEYOND_PAY_RESTRICTION,商户收款额度超限,precreate,T3
ACQ.BEYOND_PER_RECEIPT_RESTRICTION,商户收款金额超过月限额,precreate,T3
ACQ.BUYER_PAYMENT_AMOUNT_MONTH_LIMIT_ERROR,买家付款月额度超限,precreate,T2
ACQ.SELLER_BEEN_BLOCKED,商家账号被冻结,precreate,R8
ACQ.ERROR_BUYER_CERTIFY_LEVEL_LIMIT,买家未通过人行认证,precreate,R7
ACQ.SYSTEM_ERROR,系统错误,query,09
ACQ.INVALID_PARAMETER,参数无效,query,96
ACQ.TRADE_NOT_EXIST,交易不存在,query,25
AQC.SYSTEM_ERROR,系统错误,cancel,09
ACQ.INVALID_PARAMETER,参数无效,cancel,96
ACQ.SELLER_BALANCE_NOT_ENOUGH,卖家余额不足,cancel,61
ACQ.REASON_TRADE _BEEN_FREEZEN,交易被冻结,cancel,H6
ACQ.SYSTEM_ERROR,系统错误,refund,09
ACQ.INVALID_PARAMETER,参数无效,refund,96
ACQ.SELLER_BALANCE_NOT_ENOUGH,卖家余额不足,refund,61
ACQ.REFUND_AMT_NOT_EQUAL_TOTAL,退款金额超限,refund,64
ACQ.REASON_TRADE_BEEN_FREEZEN,请求退款的交易被冻结,refund,H6
ACQ.TRADE_NOT_EXIST,交易不存在,refund,25
ACQ.TRADE_HAS_FINISHED,交易已完结,refund,H6
ACQ.TRADE_STATUS_ERROR,交易状态非法,refund,H6
ACQ.DISCORDANT_REPEAT_REQUEST,不一致的请求,refund,19
ACQ.REASON_TRADE_REFUND_FEE_ERR,退款金额无效,refund,64
