respCode,respMsg,
000000,请求处理成功,
000009,处理中,
000001,系统内部错误,
000002,外部系统错误,
000003,系统未开放或暂时关闭,
100010,该笔订单已经存在退款交易，不能再次退款,
100020,原交易不成功，不能退款,
100030,不支持此类交易,
100040,绑定失败（知晓失败具体原因请找到具体应答码回复）,
100050,已解绑,
100060,解绑失败（知晓失败具体原因请找到具体应答码回复）,
100070,支付失败（知晓失败具体原因请找到具体应答码回复）,
100080,退款失败（知晓失败具体原因请找到具体应答码回复）,
101010,卡券已被核销,
101020,卡券已过期,
101030,无效的卡券,
200010,验证签名失败,
200020,解析报文错误,
200021,报文解密错误,
200030,报文格式错误,
200040,重复交易,
200050,报文要素缺失,
200051,报文要素格式错误,
200060,商户号有误,
200061,商户号长度过长,
200062,商户号包含特殊字符,
200063,商户号不存在,
200070,绑定ID有误,
200071,绑定ID重复,
200072,该绑定ID的已经解绑过,
200073,该绑定ID的状态为失败,
200074,绑定ID失效,
200075,该绑定ID的状态为处理中,
200080,订单号有误,
200081,订单号重复,
200082,订单号不存在,
200090,原订单号有误,
200100,账户名称有误,
200110,账户号码有误,
200120,证件类型有误,
200130,手机号有误,
200140,卡片有效期有误,
200150,CVV2有误,
200160,短信验证码流水有误,
200170,短信验证码有误,
200180,金额有误,
200190,退款金额有误,
200191,退款金额（累计）大于可退金额,
200200,日期有误,
200210,备注有误,
200220,电子邮箱有误,
200230,账户类型有误,
200240,证件号码有误,
300010,交易未通过,
300020,商户状态不正确,
300030,无此交易权限,
300040,交易金额超限,
300050,查无此交易,
300060,原交易状态不正确,
300070,与原交易信息不符,
300080,风险受限,
300090,绑定关系检查失败,
400010,交易失败，详情请咨询您的发卡行,
400020,您的银行卡暂不支持该业务,
400030,交易失败，发卡银行不支持该商户，请更换其他银行卡,
400040,账户状态不正确,
400050,卡上的余额不足,
400060,输入的密码、有效期或CVN2有误，交易失败,
400070,持卡人身份信息或手机号输入不正确，验证失败,
400080,输入的卡号无效，请确认后输入,
400090,支付卡已超过有效期,
400100,账户名称与账号不匹配,
410001,查发卡行,
410002,查发卡行的特殊条件,
410003,无效商户,
410004,没收卡,
410005,不予承兑,
410006,出错,
410007,特殊条件下没收卡,
410008,请求正在处理中,
410012,无效交易,
410013,无效金额,
410014,无效卡号,
410015,无此发卡行,
410019,重新送入交易,
410020,无效应答,
410021,不做任何处理,
410022,怀疑操作有误,
410023,不可接受的交易费,
410024,未能找到文件上记录,
410030,格式错误,
410031,不支持的银行,
410033,过期的卡,
410034,有作弊嫌疑,
410035,受卡方与安全保密部门联系,
410036,受限制的卡,
410037,受卡方呼受理方安全保密部门(没收卡),
410038,超过允许的PIN试输入,
410039,无此信用卡账户,
410040,请求的功能尚不支持,
410041,丢失卡,
410042,无此账户,
410043,被窃卡,
410044,无此投资账户,
410051,无足够的存款,
410052,无此支票账户,
410053,无此储蓄卡账户,
410054,过期的卡,
410055,不正确的PIN,
410056,无此卡记录,
410057,不允许持卡人进行的交易,
410058,不允许终端进行的交易,
410059,有作弊嫌疑,
410060,受卡方与安全保密部门联系,
410061,超出取款金额限制,
410062,受限制的卡,
410063,违反安全保密规定,
410064,原始金额不正确,
410065,超出取款次数限制,
410066,受卡方呼受理方安全保密部门,
410067,捕捉（没收卡）,
410068,收到的回答太迟,
410075,允许的输入PIN次数超限,
410077,需要向网络中心签到,
410079,脱机交易对账不平,
410090,日期切换正在处理,
410091,发卡行或收单银行不能操作,
410092,金融机构或中间网络设施找不到或无法达到,
410093,交易违法、不能完成,
410094,重复交易,
410095,调节控制错,
410096,系统异常、失效,
410097,POS终端号找不到,
410098,收不到发卡行应答,
410099,PIN格式错,
4100A0,MAC 校验失败,
500010,金额超限,
510010,商户无此交易权限,
