iso8583Code,iso8583Msg,errorCode,isUseISO,respCode,respMsg
00,成功,SUCCESS,true,,
01,交易失敗,FAIL,false,,
03,商戶不存在,NO_MERCHANT,false,,
05,不支持該交易類型,NOT_SUPPORT_TYPE,true,,
09,處理中,INPROCESS,true,,
12,簽名錯誤,SIGN_AUTH_ERROR,true,,
13,金額錯誤,AMT_INVALID,true,,
14,條碼錯誤或過期,QRCODE_INVALID,true,,
15,無此通路,NO_CHANNEL,true,,
19,訂單號重複,ORDER_DUPLICATE,true,,
25,訂單不存在,TRADE_NOT_EXIST,true,,
30,報文錯誤,DATA_ERROR,true,,
31,許可權不足,NO_ROUTERPOLICY,true,,
51,餘額不足,INSUFFICIENT_BALANCE,false,,
61,退款失敗，商家帳戶餘額不足,NOT_ENOUGH_BALANCE,true,,
64,退款金額超過原訂單金額,TRADE_AMT_INCONSISTENT,true,,
91,外部系統錯誤,CHAN_UNKNOWN_ERROR,false,,
96,系統錯誤,SYSTEM_ERROR,true,,
98,交易超時,TRADE_OVERTIME,true,,
H1,商戶無此交易通路許可權,NO_CHANMER,true,,
H2,商戶無此介面許可權,NO_PERMISSION,true,,
H3,訂單已關閉或取消,ORDER_CLOSED,true,,
H4,[fieldName]不能為空,DATA_EMPTY_ERROR,true,,
H5,[fieldName]格式錯誤,DATA_FORMAT_ERROR,true,,
H6,交易狀態不合法,ILLEGAL_STATUS,true,,
H7,交易資訊中包含違禁詞彙,ERROR_VOCABULARY,true,,
H8,[fieldName]欄位錯誤,DATA_CONTENT_ERROR,true,,
R1,原交易非支付交易,NOT_PAYTRADE,true,,
R2,原交易未成功支付,NOT_SUCESS_TRADE,true,,
R3,原交易已退款,TRADE_REFUNDED,true,,
R4,只能隔天退款,REFUND_TIME_ERROR,true,,
R5,不支持的卡類型，請換卡或綁新卡,NOT_SUPPORT_CARD,true,,
R6,只能撤銷當天交易,CANCEL_TIME_ERROR,true,,
R7,買家帳戶狀態异常,BUYER_ERROR,true,,
R8,賣家帳戶狀態异常,SELLER_ERROR,true,,
R9,付款碼與交易通路不符,CODE_CHAN_NOT_MATCH,true,,
S1,分賬資訊不正確,LEDGER_INFO_ERROR,true,,
S2,軟體版本過低，請陞級,VERSION_NOT_SUPPORT,true,,
S3,付款金額小於最低限額,AMOUNT_LIMIT,true,,
S4,Openid錯誤,OPENID_ERROR,true,,
S5,姓名校驗錯誤,NAME_CHECK_ERROR,true,,
S6,對同一用戶轉帳操作過於頻繁，請稍候重試。,FREQ_LIMIT,true,,
J1,授權碼code錯誤,AUTH_CODE_ERROR,true,,
