code,msg,busicd,ISOCode
NOAUTH,商户无此接口权限,prePay,H1
NOTENOUGH,余额不足,prePay,51
ORDERPAID,商户订单已支付,prePay,01
ORDERCLOSED,订单已关闭,prePay,01
SYSTEMERROR,系统错误,prePay,91
APPID_NOT_EXIST,APPID不存在,prePay,96
MCHID_NOT_EXIST,MCHID不存在,prePay,96
APPID_MCHID_NOT_MATCH,appid和mch_id不匹配,prePay,96
LACK_PARAMS,缺少参数,prePay,96
OUT_TRADE_NO_USED,商户订单号重复,prePay,19
SIGNERROR,签名错误,prePay,96
XML_FORMAT_ERROR,XML格式错误,prePay,96
REQUIRE_POST_METHOD,请使用post方法,prePay,96
POST_DATA_EMPTY,post数据为空,prePay,96
NOT_UTF8,编码格式错误,prePay,96
ORDERNOTEXIST,此交易订单号不存在,payQuery,25
SYSTEMERROR,系统错误,payQuery,91
ORDERPAID,订单已支付,close,01
SYSTEMERROR,系统错误,close,91
ORDERNOTEXIST,订单不存在,close,25
ORDERCLOSED,订单已关闭,close,H3
SIGNERROR,签名错误,close,96
REQUIRE_POST_METHOD,请使用post方法,close,96
XML_FORMAT_ERROR,XML格式错误,close,96
SYSTEMERROR,接口返回错误,pay,91
PARAM_ERROR,参数错误,pay,96
ORDERPAID,订单已支付,pay,19
NOAUTH,商户无权限,pay,H1
AUTHCODEEXPIRE,二维码已过期，请用户在微信上刷新后再试,pay,14
NOTENOUGH,余额不足,pay,51
NOTSUPORTCARD,不支持卡类型,pay,R5
ORDERCLOSED,订单已关闭,pay,H3
ORDERREVERSED,订单已撤销,pay,H3
BANKERROR,银行系统异常,pay,09
USERPAYING,用户支付中，需要输入密码,pay,09
AUTH_CODE_ERROR,授权码参数错误,pay,14
AUTH_CODE_INVALID,授权码检验错误,pay,14
XML_FORMAT_ERROR,XML格式错误,pay,96
REQUIRE_POST_METHOD,请使用post方法,pay,96
SIGNERROR,签名错误,pay,96
LACK_PARAMS,缺少参数,pay,96
NOT_UTF8,编码格式错误,pay,96
BUYER_MISMATCH,支付帐号错误,pay,96
APPID_NOT_EXIST,APPID不存在,pay,96
MCHID_NOT_EXIST,MCHID不存在,pay,96
OUT_TRADE_NO_USED,商户订单号重复,pay,19
APPID_MCHID_NOT_MATCH,appid和mch_id不匹配,pay,96
SYSTEMERROR,接口返回错误,reverse,91
INVALID_TRANSACTIONID,无效transaction_id,reverse,96
PARAM_ERROR,参数错误,reverse,96
REQUIRE_POST_METHOD,请使用post方法,reverse,96
SIGNERROR,签名错误,reverse,96
SYSTEMERROR,接口返回错误,refund,91
INVALID_TRANSACTIONID,无效transaction_id,refund,96
PARAM_ERROR,参数错误,refund,96
APPID_NOT_EXIST,APPID不存在,refund,96
MCHID_NOT_EXIST,MCHID不存在,refund,96
APPID_MCHID_NOT_MATCH,appid和mch_id不匹配,refund,96
REQUIRE_POST_METHOD,请使用post方法,refund,96
SIGNERROR,签名错误,refund,96
XML_FORMAT_ERROR,XML格式错误,refund,96
SYSTEMERROR,接口返回错误,refundQuery,91
INVALID_TRANSACTIONID,无效transaction_id,refundQuery,96
PARAM_ERROR,参数错误,refundQuery,96
APPID_NOT_EXIST,APPID不存在,refundQuery,96
MCHID_NOT_EXIST,MCHID不存在,refundQuery,96
APPID_MCHID_NOT_MATCH,appid和mch_id不匹配,refundQuery,96
REQUIRE_POST_METHOD,请使用post方法,refundQuery,96
SIGNERROR,签名错误,refundQuery,96
XML_FORMAT_ERROR,XML格式错误,refundQuery,96

