schemeCd,fitBitMap,nm,descs,operIn,eventId,recId,recUpdTs,recCrtTs
000000,1111000001,固定百分比 0.000%,固定百分比 0.000%,I,0,0,04/27/2013 14:12:00,04/27/2013 14:12:00
000001,1111000001,固定百分比 0.001%,固定百分比 0.001%,I,0,0,04/27/2013 14:12:00,04/27/2013 14:12:00
000002,1111000001,固定百分比 0.002%,固定百分比 0.002%,I,0,0,04/27/2013 14:12:00,04/27/2013 14:12:00
000003,1111000001,固定百分比 0.003%,固定百分比 0.003%,I,0,0,04/27/2013 14:12:00,04/27/2013 14:12:00
000004,1111000001,固定百分比 0.004%,固定百分比 0.004%,I,0,0,04/27/2013 14:12:00,04/27/2013 14:12:00
000005,1111000001,固定百分比 0.005%,固定百分比 0.005%,I,0,0,04/27/2013 14:12:00,04/27/2013 14:12:00
000006,1111000001,固定百分比 0.006%,固定百分比 0.006%,I,0,0,04/27/2013 14:12:00,04/27/2013 14:12:00
000007,1111000001,固定百分比 0.007%,固定百分比 0.007%,I,0,0,04/27/2013 14:12:00,04/27/2013 14:12:00
000008,1111000001,固定百分比 0.008%,固定百分比 0.008%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000009,1111000001,固定百分比 0.009%,固定百分比 0.009%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000010,1111000001,固定百分比 0.010%,固定百分比 0.010%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000011,1111000001,固定百分比 0.011%,固定百分比 0.011%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000012,1111000001,固定百分比 0.012%,固定百分比 0.012%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000013,1111000001,固定百分比 0.013%,固定百分比 0.013%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000014,1111000001,固定百分比 0.014%,固定百分比 0.014%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000015,1111000001,固定百分比 0.015%,固定百分比 0.015%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000016,1111000001,固定百分比 0.016%,固定百分比 0.016%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000017,1111000001,固定百分比 0.017%,固定百分比 0.017%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000018,1111000001,固定百分比 0.018%,固定百分比 0.018%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000019,1111000001,固定百分比 0.019%,固定百分比 0.019%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000020,1111000001,固定百分比 0.020%,固定百分比 0.020%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000021,1111000001,固定百分比 0.021%,固定百分比 0.021%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
000022,1111000001,固定百分比 0.022%,固定百分比 0.022%,I,0,0,04/27/2013 14:12:01,04/27/2013 14:12:01
